smiles,Test,label_model_1,label_model_2,label_model_3,label_model_4,label_model_5,label_model_6,label_model_7,label_model_8,label_model_9,label_model_10,label
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,1,0.581852078,0.936960876,0.682872415,0.300926685,0.080854312,0.88372618,0.6638816,0.942852437,0.235205844,0.765580416,0.607471284
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,0,0.06955041,0.004099661,0.399750054,0.141689271,0.05075787,0.843910277,0.125920475,0.510705113,0.731638849,0.763828158,0.364185014
OC1=C(Br)C=C(C=C1Br)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,0,0.523856401,0.299045444,0.994995832,0.358924806,0.236086279,0.518114448,0.618647873,0.909954965,0.70288384,0.891932189,0.605444208
CCCCCCCCCC1=CC=C(O)C=C1,1,0.725535989,0.584561825,0.530342162,0.43752712,0.070383832,0.96542269,0.155125901,0.056963325,0.126182467,0.88591361,0.453795892
CC(C)(CC(=C)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.921964169,0.996849358,0.999939561,0.546100497,0.981205344,0.984526157,0.836696744,0.9968009,0.967020631,0.962886691,0.919399005
CC1=CC(=CC=C1O)C(C)(C)C1=CC=C(O)C(C)=C1,1,0.763547122,0.949357569,0.997378707,0.394024402,0.972374737,0.949289918,0.969471276,0.995225191,0.697947025,0.932996273,0.862161222
OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,0,0.433284819,0.433930993,0.131517157,0.209707484,0.905589044,0.929964721,0.606143236,0.554102957,0.32377404,0.847776115,0.537579057
CC1=CC(=CC=C1O)S(=O)(=O)C1=CC(C)=C(O)C=C1,1,0.683023036,0.68110919,0.717331827,0.542957604,0.485959411,0.742943764,0.993775964,0.941686571,0.448182195,0.931848049,0.716881761
CC(C)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,0.521473765,0.008120894,0.14368479,0.341107666,0.166987002,0.684841454,0.003566616,0.07655102,0.769115865,0.945909142,0.366135821
C[C@H]1CC(C)(C)CC(C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.950426638,0.128603607,0.759847879,0.734120429,0.997956991,0.988002658,0.140672624,0.984003007,0.969973445,0.977346063,0.763095334
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,0,0.862938046,0.025337541,0.622700393,0.685839117,0.038779683,0.887904823,0.989516318,0.946522236,0.757162392,0.987155557,0.680385611
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1,0,0.721148014,0.034159254,0.732729137,0.733584404,0.112781465,0.885505021,0.330953866,0.042412061,0.789394557,0.971114218,0.5353782
CC(C)(C1=CC=C(O)C(=C1)C1=CC=CC=C1)C1=CC=C(O)C(=C1)C1=CC=CC=C1,1,0.935446084,0.998997509,0.999002874,0.7417382,0.999914169,0.99011898,0.99938035,0.995483875,0.967782736,0.988737702,0.961660248
CC(C)(C1=CC=C(O)C=C1)C1=CC(=CC=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.931912363,0.817173898,0.99857676,0.485904694,0.999127924,0.963435709,0.999696732,0.994952321,0.562789321,0.975789785,0.872935951
CC(C)C1=C(O)C=CC(=C1)C(C)(C)C1=CC(C(C)C)=C(O)C=C1,1,0.440841258,0.398913026,0.870874703,0.317275465,0.980087459,0.934936464,0.869387627,0.998294532,0.707252085,0.909816563,0.742767918
OC1=CC=C(CC2=CC=C(O)C(O)=C2)C=C1,0,0.856211066,0.841413319,0.865036786,0.384338528,0.977327049,0.915670455,0.741683602,0.206209481,0.837582886,0.855024934,0.748049811
OC1=CC=C(CC2=CC=C(O)C=C2O)C=C1,0,0.800134003,0.560703397,0.934399605,0.493818253,0.954236269,0.953797162,0.120540619,0.505701005,0.648706377,0.893984437,0.686602113
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.844661176,0.786664069,0.999709785,0.622893095,0.997340143,0.963493824,0.998509347,0.990750968,0.59207201,0.983431518,0.877952594
