smiles,Test,label_model_1,label_model_2,label_model_3,label_model_4,label_model_5,label_model_6,label_model_7,label_model_8,label_model_9,label_model_10
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,1,0.29903748,0.319720495,0.308509952,0.311673843,0.320430698,0.308522536,0.320978753,0.338556981,0.336152432,0.313349987
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,0,0.276355892,0.298568074,0.262716115,0.290551813,0.289090718,0.27291907,0.28789556,0.289117986,0.277583504,0.288197001
OC1=C(Br)C=C(C=C1Br)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,0,0.310810915,0.324347012,0.311613323,0.312193629,0.316468477,0.308283969,0.32312274,0.335108226,0.327216581,0.314882456
CCCCCCCCCC1=CC=C(O)C=C1,1,0.096048885,0.098850733,0.099706862,0.103557938,0.116401524,0.094947772,0.089220532,0.095468252,0.09187475,0.094388809
CC(C)(CC(=C)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.294633928,0.304863247,0.287463677,0.302237202,0.311766582,0.302614503,0.309619279,0.306164973,0.304899612,0.308347324
CC1=CC(=CC=C1O)C(C)(C)C1=CC=C(O)C(C)=C1,1,0.252896357,0.262387237,0.251882587,0.260639338,0.276815184,0.248294012,0.260704149,0.27366765,0.26253493,0.269867146
OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,0,0.142344141,0.156022306,0.135004376,0.171347138,0.168080075,0.150837783,0.151973003,0.166368411,0.158815193,0.165748489
CC1=CC(=CC=C1O)S(=O)(=O)C1=CC(C)=C(O)C=C1,1,0.263769707,0.282438718,0.263644138,0.277278693,0.277092974,0.259802022,0.2819276,0.288972735,0.267377648,0.283868847
CC(C)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,0.301880248,0.320011412,0.294319076,0.312880257,0.311315026,0.296026633,0.309481376,0.31890399,0.302780586,0.322941856
C[C@H]1CC(C)(C)CC(C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.333808658,0.33807951,0.330643897,0.341878191,0.34025472,0.337511217,0.337521814,0.352469297,0.355690448,0.343537196
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,0,0.337769051,0.340381355,0.314820499,0.328683041,0.329430386,0.327615801,0.328279675,0.343346163,0.324143157,0.341770023
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1,0,0.280376456,0.297100317,0.278850157,0.292203961,0.292615069,0.277465936,0.286604219,0.304615929,0.27405875,0.301628063
CC(C)(C1=CC=C(O)C(=C1)C1=CC=CC=C1)C1=CC=C(O)C(=C1)C1=CC=CC=C1,1,0.348253042,0.348110307,0.343769673,0.355780985,0.354242804,0.345045153,0.350991447,0.362426999,0.368068849,0.359206828
