smiles,Test,label_model_1,label_model_2,label_model_3,label_model_4,label_model_5,label_model_6,label_model_7,label_model_8,label_model_9,label_model_10
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,1,0.609023599,0.494244147,0.546238127,0.642469359,0.546149014,0.427223045,0.509034011,0.63457135,0.473471588,0.493381637
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,0,0.216625042,0.319517417,0.258451807,0.220444259,0.269124797,0.371350226,0.195156521,0.212400627,0.190467559,0.254677601
OC1=C(Br)C=C(C=C1Br)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,0,0.341282875,0.369142742,0.136329526,0.183749603,0.255711021,0.395283445,0.24623946,0.320530968,0.26118204,0.304670119
CCCCCCCCCC1=CC=C(O)C=C1,1,0.066147925,0.060069429,0.084436627,0.059118862,0.088706468,0.095325444,0.174751176,0.076780082,0.075373003,0.090961828
CC(C)(CC(=C)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.504403766,0.623775533,0.412608056,0.462220647,0.664968258,0.726450579,0.536549792,0.62053976,0.40284385,0.731757899
CC1=CC(=CC=C1O)C(C)(C)C1=CC=C(O)C(C)=C1,1,0.546762021,0.607737102,0.462364038,0.53070206,0.641282495,0.608049333,0.595858005,0.62915824,0.491122052,0.650921096
OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,0,0.229505262,0.350262975,0.208104572,0.186839267,0.195401851,0.261158227,0.217935402,0.274284912,0.164660547,0.294259923
CC1=CC(=CC=C1O)S(=O)(=O)C1=CC(C)=C(O)C=C1,1,0.365832865,0.30447354,0.35107847,0.213434616,0.230775327,0.327818746,0.259028069,0.27324144,0.210632092,0.295952154
CC(C)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,0.367407273,0.299044712,0.401200698,0.255332423,0.292834329,0.364677829,0.354108501,0.328296033,0.321047761,0.277709571
C[C@H]1CC(C)(C)CC(C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.597024017,0.550012458,0.600839829,0.618910057,0.602330909,0.548715257,0.604711809,0.663220085,0.564797616,0.601519667
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,0,0.331574162,0.423607231,0.297485864,0.218903798,0.345636046,0.276852892,0.244268903,0.393198714,0.22144995,0.3013247
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1,0,0.32507708,0.269931117,0.304031239,0.270168755,0.234168365,0.374805662,0.25453771,0.323227455,0.167851821,0.24564194
CC(C)(C1=CC=C(O)C(=C1)C1=CC=CC=C1)C1=CC=C(O)C(=C1)C1=CC=CC=C1,1,0.534700664,0.417588857,0.527174932,0.40248079,0.401683973,0.404376365,0.522053445,0.501108551,0.489522859,0.541925881
CC(C)(C1=CC=C(O)C=C1)C1=CC(=CC=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.658499886,0.698425244,0.692779674,0.64263341,0.579674611,0.548628503,0.563879823,0.676019327,0.673534755,0.687040043
CC(C)C1=C(O)C=CC(=C1)C(C)(C)C1=CC(C(C)C)=C(O)C=C1,1,0.558199188,0.478664533,0.537154096,0.3286588,0.529231308,0.448407246,0.475948572,0.524770041,0.548599618,0.510572098
OC1=CC=C(CC2=CC=C(O)C(O)=C2)C=C1,0,0.407015782,0.211208181,0.348081976,0.227962581,0.255673245,0.26009916,0.28772943,0.283265819,0.285258102,0.389874188
OC1=CC=C(CC2=CC=C(O)C=C2O)C=C1,0,0.528937906,0.255917586,0.218552545,0.241309622,0.261501424,0.396543826,0.294894208,0.436903371,0.420964478,0.457436288
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.690183848,0.685829397,0.589744788,0.603437911,0.558706152,0.573860443,0.48878963,0.560290769,0.639520874,0.53871799
OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(O)C=C1,0,0.665871643,0.714666948,0.757688999,0.686281122,0.823475373,0.716844009,0.569722267,0.710140615,0.77047156,0.763704005
CC(C1=CC=CC=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.760281574,0.716202626,0.764655377,0.779481115,0.798931077,0.704557333,0.675255759,0.776383709,0.772963428,0.843817827
OC1C(O)C(OC2=CC=C(C=C2)C(C2=CC=C(O)C=C2)(C(F)(F)F)C(F)(F)F)OC(C1O)C(O)=O,0,0.271802494,0.281713832,0.285822743,0.358932518,0.255720499,0.366769369,0.394645235,0.341519554,0.310236375,0.428350081
CC(=C)C(=O)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(OC(=O)C(C)=C)C=C1,0,0.413900684,0.327812251,0.247084416,0.323822988,0.318633461,0.328754795,0.317451556,0.409416962,0.266984279,0.383006523
CC(C(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,0.122903671,0.084747678,0.157790672,0.148731723,0.101149311,0.093308455,0.108725659,0.165564812,0.093716041,0.168827821
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.608346855,0.548035015,0.313958171,0.532482435,0.594242759,0.627663105,0.690031478,0.689872866,0.462783576,0.665231525
CC(CO)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,0.345988297,0.23197585,0.268524411,0.293930168,0.342259807,0.342531721,0.349529478,0.442248433,0.268490593,0.454793448
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C(O)=C1,1,0.450718871,0.347811183,0.386246827,0.422612366,0.478963459,0.453247611,0.419295136,0.542286933,0.370043256,0.518692928
CC(=C)C(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)C(C)=C)C=C1,0,0.303940376,0.297005457,0.308626111,0.302642247,0.373785437,0.304845555,0.308304774,0.428907847,0.438239876,0.305665673
OCCOC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCCO)C=C1,0,0.138137178,0.119392865,0.150906663,0.117651081,0.223632018,0.15118745,0.136856255,0.199907561,0.109251998,0.13389075
CC(C)(C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1)C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1,0,0.308815922,0.199717116,0.153815183,0.173924855,0.243114917,0.184577467,0.309568088,0.303890209,0.259868116,0.228810638
CC(C)(C1=CC=C(O)C=C1)C1=C(O)C=CC=C1,1,0.231128761,0.264976651,0.235608191,0.332211889,0.236989704,0.306001034,0.337079127,0.427824978,0.24717693,0.34373158
CC(C)(C1=CC=CC=C1O)C1=C(O)C=CC=C1,1,0.187314244,0.179444481,0.115179021,0.187895793,0.213155408,0.153223357,0.262237756,0.290710098,0.152918727,0.245657834
