acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.5625,0.682352941,0.6,0.529411765,0.5625,0.128404669,0.129411765,0.650352728
0.6875,0.784313725,0.733333333,0.647058824,0.6875,0.377431907,0.380392157,0.742557724
0.78125,0.823529412,0.8,0.75,0.774193548,0.5625,0.563601862,0.681799507
0.71875,0.741176471,0.733333333,0.6875,0.709677419,0.4375,0.438357004,0.611556067
0.6875,0.737254902,0.733333333,0.647058824,0.6875,0.377431907,0.380392157,0.706211991
0.75,0.788235294,0.733333333,0.733333333,0.733333333,0.498039216,0.498039216,0.725590445
0.65625,0.843137255,0.866666667,0.590909091,0.702702703,0.328244275,0.363092285,0.845196704
0.6875,0.784313725,0.533333333,0.727272727,0.615384615,0.362549801,0.374943054,0.751894781
0.71875,0.780392157,0.733333333,0.6875,0.709677419,0.4375,0.438357004,0.718108499
0.71875,0.752941176,0.8,0.666666667,0.727272727,0.441860465,0.449712015,0.71274684
0.696875,0.771764706,0.726666667,0.666671123,0.690974177,0.395146224,0.401629852,0.714601529
0.055988978,0.043485228,0.091651514,0.064247251,0.057548296,0.110309205,0.108508735,0.059377237
0.75,0.780392157,0.8,0.705882353,0.75,0.501945525,0.505882353,0.735403251
