smiles,Test,label_model_1,label_model_2,label_model_3,label_model_4,label_model_5,label_model_6,label_model_7,label_model_8,label_model_9,label_model_10
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,1,0.41025727,0.412136886,0.47014352,0.47835322,0.461935555,0.404686982,0.52054197,0.463557576,0.498922984,0.481944558
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,0,0.288656201,0.256369819,0.244391686,0.212194327,0.265452521,0.252654388,0.267100407,0.299203638,0.270891176,0.248118977
OC1=C(Br)C=C(C=C1Br)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,0,0.375497876,0.375864015,0.45228639,0.300894693,0.351460272,0.349316874,0.256926165,0.365735876,0.401383488,0.255652222
CCCCCCCCCC1=CC=C(O)C=C1,1,0.059559955,0.061427324,0.141116111,0.042672902,0.095093604,0.083464641,0.169577864,0.092842065,0.063253884,0.077463232
CC(C)(CC(=C)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.471397141,0.555063233,0.369762022,0.374559688,0.56527189,0.477532555,0.51454911,0.530320883,0.503575393,0.600098149
CC1=CC(=CC=C1O)C(C)(C)C1=CC=C(O)C(C)=C1,1,0.428390201,0.461610407,0.391195928,0.42024757,0.506624651,0.439345883,0.531339343,0.513174652,0.442972741,0.468140874
OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,0,0.257931172,0.380269566,0.212380759,0.279386128,0.204484992,0.314819743,0.30753629,0.383713994,0.213608112,0.363037903
CC1=CC(=CC=C1O)S(=O)(=O)C1=CC(C)=C(O)C=C1,1,0.201691467,0.167765466,0.224122436,0.216206353,0.181009343,0.184896865,0.167075142,0.19660791,0.174137987,0.162435386
CC(C)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,0.292731283,0.258711277,0.390604347,0.219596839,0.271430269,0.318739108,0.206843941,0.290124639,0.295319802,0.282318393
C[C@H]1CC(C)(C)CC(C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.555909238,0.54644848,0.624694252,0.517054781,0.692281115,0.501657343,0.616543038,0.661223572,0.64746606,0.667342953
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,0,0.358837211,0.302306509,0.400035326,0.25298986,0.306933269,0.30133406,0.327028326,0.405334518,0.420778643,0.291233645
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1,0,0.293429541,0.202115278,0.313089951,0.145990652,0.182297222,0.279267662,0.234311568,0.165493803,0.229180677,0.190376106
CC(C)(C1=CC=C(O)C(=C1)C1=CC=CC=C1)C1=CC=C(O)C(=C1)C1=CC=CC=C1,1,0.433578509,0.352503215,0.40242933,0.46152227,0.360759533,0.355024052,0.391637116,0.491100194,0.484195799,0.454086696
CC(C)(C1=CC=C(O)C=C1)C1=CC(=CC=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.598930956,0.502431413,0.578635986,0.555359369,0.65306171,0.582385348,0.509762917,0.560156454,0.620418255,0.678100743
CC(C)C1=C(O)C=CC(=C1)C(C)(C)C1=CC(C(C)C)=C(O)C=C1,1,0.550424193,0.487227547,0.507486355,0.511064995,0.52603485,0.480297232,0.579866475,0.595587096,0.5135413,0.48731192
OC1=CC=C(CC2=CC=C(O)C(O)=C2)C=C1,0,0.229891221,0.253372352,0.18889164,0.205102982,0.244383481,0.273222745,0.280661694,0.217066393,0.223918789,0.35557734
OC1=CC=C(CC2=CC=C(O)C=C2O)C=C1,0,0.295899419,0.265962217,0.257829872,0.295517735,0.198312532,0.25127071,0.260853796,0.280413783,0.133670114,0.375912773
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.467383721,0.418929642,0.481492463,0.501132643,0.548966866,0.541047064,0.491924097,0.495051776,0.588460494,0.540491252
OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(O)C=C1,0,0.502153549,0.65761712,0.601252867,0.618539644,0.731099159,0.606040435,0.558903477,0.660144787,0.650121125,0.701072561
CC(C1=CC=CC=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.573767688,0.723912858,0.619190749,0.789664029,0.73893998,0.65317003,0.725466206,0.690406145,0.760862304,0.795596863
OC1C(O)C(OC2=CC=C(C=C2)C(C2=CC=C(O)C=C2)(C(F)(F)F)C(F)(F)F)OC(C1O)C(O)=O,0,0.441609628,0.496299122,0.442912571,0.404670743,0.493138633,0.358545291,0.527086417,0.438890912,0.494720335,0.429204719
CC(=C)C(=O)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(OC(=O)C(C)=C)C=C1,0,0.357919079,0.2970818,0.242550236,0.364843107,0.268033724,0.326136002,0.359530081,0.268498054,0.233230491,0.250723232
CC(C(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,0.245159793,0.164925772,0.188208428,0.205037507,0.227005407,0.276713245,0.19881277,0.241083921,0.22409846,0.236198644
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.43296613,0.458351847,0.250293316,0.42654332,0.430952934,0.392422991,0.483292813,0.456994612,0.479708756,0.497886382
CC(CO)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,0.365869424,0.252683797,0.170036149,0.280622878,0.267693805,0.353090959,0.254495719,0.343353042,0.232513066,0.342105062
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C(O)=C1,1,0.287432588,0.318701608,0.230118115,0.294292549,0.298665283,0.247216975,0.272679796,0.430956597,0.333943211,0.366084305
CC(=C)C(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)C(C)=C)C=C1,0,0.313359052,0.291787648,0.340472777,0.281461415,0.294924488,0.290882444,0.284836783,0.275897946,0.311584982,0.276299997
OCCOC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCCO)C=C1,0,0.107829193,0.092602573,0.181935449,0.092430665,0.144011838,0.246093731,0.106471953,0.148036325,0.150206889,0.10963618
