acc,auc_roc,recall,precision,f1,kappa,mcc,auc_prc
0.625,0.678431373,0.266666667,0.8,0.4,0.216326531,0.285653069,0.745138828
0.625,0.725490196,0.266666667,0.8,0.4,0.216326531,0.285653069,0.69020661
0.625,0.619607843,0.266666667,0.8,0.4,0.216326531,0.285653069,0.664160558
0.65625,0.768627451,0.333333333,0.833333333,0.476190476,0.284552846,0.350966489,0.738925662
0.71875,0.756862745,0.466666667,0.875,0.608695652,0.419354839,0.470015992,0.730250225
0.625,0.654901961,0.266666667,0.8,0.4,0.216326531,0.285653069,0.694330647
0.6875,0.690196078,0.466666667,0.777777778,0.583333333,0.357429719,0.387377814,0.722728666
0.6875,0.796078431,0.4,0.857142857,0.545454545,0.352226721,0.411841529,0.791024386
0.6875,0.764705882,0.4,0.857142857,0.545454545,0.352226721,0.411841529,0.732717611
0.65625,0.733333333,0.333333333,0.833333333,0.476190476,0.284552846,0.350966489,0.733022299
0.659375,0.718823529,0.346666667,0.823373016,0.483531903,0.291564981,0.352562212,0.724250549
0.032625958,0.053513249,0.077746025,0.030673576,0.078302762,0.071252889,0.063204444,0.033109468
0.65625,0.717647059,0.333333333,0.833333333,0.476190476,0.284552846,0.350966489,0.716538624
