smiles,Test,label_model_1,label_model_2,label_model_3,label_model_4,label_model_5,label_model_6,label_model_7,label_model_8,label_model_9,label_model_10
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,1,0.96768881,0.983399099,0.951525444,0.957387898,0.892478862,0.959021918,0.94033067,0.935448545,0.955282276,0.922052422
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,0,0.405109119,0.453417418,0.590104453,0.619572353,0.578361735,0.638248978,0.414104406,0.571682651,0.345376743,0.314689186
OC1=C(Br)C=C(C=C1Br)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,0,0.146807612,0.150535484,0.130255431,0.14662996,0.135949241,0.130619021,0.133702716,0.146548049,0.141392071,0.154398652
CCCCCCCCCC1=CC=C(O)C=C1,1,0.045927957,0.058744711,0.04889517,0.036653329,0.045389933,0.059056403,0.581061125,0.050760617,0.040209487,0.036893913
CC(C)(CC(=C)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.996721157,0.98957658,0.984248054,0.994037023,0.987248519,0.999983685,0.996220402,0.994705336,0.984750476,0.995730103
CC1=CC(=CC=C1O)C(C)(C)C1=CC=C(O)C(C)=C1,1,0.961640871,0.976378687,0.92180027,0.962880119,0.912247616,0.951541301,0.938197166,0.934603542,0.93657145,0.963582434
OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,0,0.666086957,0.940976616,0.412798406,0.720090151,0.630131495,0.575561666,0.403575129,0.902113054,0.48479698,0.601609335
CC1=CC(=CC=C1O)S(=O)(=O)C1=CC(C)=C(O)C=C1,1,0.437727692,0.014448661,0.040094109,0.026808946,0.030871454,0.059540287,0.041863739,0.048182143,0.017058928,0.030627335
CC(C)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,0.525864697,0.070862384,0.167709427,0.199159368,0.168023706,0.271380656,0.17094856,0.208310346,0.127804289,0.127175482
C[C@H]1CC(C)(C)CC(C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.599838075,0.625970517,0.666994784,0.525896425,0.794676122,0.597982736,0.755016133,0.527539269,0.584959708,0.543463604
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,0,0.55095772,0.12477644,0.265343222,0.290913471,0.313240473,0.370027264,0.317993586,0.301135997,0.130085736,0.205444103
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1,0,0.583180159,0.059378301,0.227120172,0.252955105,0.21579219,0.293552336,0.255785334,0.278285246,0.113118157,0.137242609
CC(C)(C1=CC=C(O)C(=C1)C1=CC=CC=C1)C1=CC=C(O)C(=C1)C1=CC=CC=C1,1,0.798570314,0.904108605,0.862452428,0.800628734,0.84263546,0.84812736,0.803363334,0.793008679,0.868288204,0.821789311
CC(C)(C1=CC=C(O)C=C1)C1=CC(=CC=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.930908446,0.955880808,0.939117387,0.924212958,0.865580407,0.933946822,0.94906695,0.9136757,0.927142207,0.919837637
CC(C)C1=C(O)C=CC(=C1)C(C)(C)C1=CC(C(C)C)=C(O)C=C1,1,0.892165297,0.921297883,0.891276884,0.687369606,0.839489782,0.896041433,0.908626407,0.780281398,0.872289407,0.796677682
OC1=CC=C(CC2=CC=C(O)C(O)=C2)C=C1,0,0.256509143,0.214905348,0.062014586,0.040475166,0.031964745,0.11769016,0.060773843,0.047432382,0.206916255,0.616046719
OC1=CC=C(CC2=CC=C(O)C=C2O)C=C1,0,0.95943566,0.881537426,0.808676778,0.845865493,0.628417654,0.910788662,0.602785432,0.775335252,0.688056162,0.972847136
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.793821768,0.875463253,0.835980225,0.64727155,0.544171412,0.844056893,0.865205967,0.702422714,0.723525298,0.744581593
OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(O)C=C1,0,0.698382403,0.920935683,0.926912264,0.918072578,0.931841643,0.899339732,0.660066928,0.914350935,0.916882049,0.953705131
CC(C1=CC=CC=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.982482104,0.987965667,0.980735596,0.989899117,0.989234474,0.982381482,0.981456057,0.988131996,0.982614051,0.99586383
OC1C(O)C(OC2=CC=C(C=C2)C(C2=CC=C(O)C=C2)(C(F)(F)F)C(F)(F)F)OC(C1O)C(O)=O,0,0.15038657,0.157596583,0.136480388,0.153891385,0.141902084,0.135597125,0.141347482,0.155038498,0.147716828,0.161102462
CC(=C)C(=O)OC1=CC=C(C=C1)C(C)(C)C1=CC=C(OC(=O)C(C)=C)C=C1,0,0.172529493,0.459130285,0.148407986,0.166681686,0.235023457,0.388380657,0.244370175,0.333408931,0.211063777,0.328490667
CC(C(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,0.102163552,0.066953077,0.032533906,0.03549387,0.059946596,0.06998291,0.046160483,0.052601538,0.023676411,0.06045949
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.987252531,0.962003308,0.727747214,0.976138252,0.97004847,0.982928761,0.974828867,0.963932855,0.943905779,0.965738608
CC(CO)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,0,0.976894091,0.932856155,0.71459409,0.850519713,0.912912326,0.962935628,0.865150964,0.861832741,0.655730435,0.959359786
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O)C(O)=C1,1,0.966755841,0.906106534,0.695252954,0.828327811,0.714980075,0.945240141,0.888091858,0.72004184,0.797382841,0.961207013
CC(=C)C(=O)OCC(O)COC1=CC=C(C=C1)C(C)(C)C1=CC=C(OCC(O)COC(=O)C(C)=C)C=C1,0,0.161669844,0.145827455,0.143197959,0.134041556,0.147696596,0.157533718,0.182242665,0.123849744,0.171157032,0.177522917
OCCOC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCCO)C=C1,0,0.068522841,0.020113711,0.035031703,0.015757424,0.018420578,0.029433879,0.028701258,0.020623138,0.017724882,0.017353254
CC(C)(C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1)C1=CC=C(OP(=O)(OC2=CC=CC=C2)OC2=CC=CC=C2)C=C1,0,0.14710801,0.150337679,0.130037456,0.146427964,0.136181987,0.131237788,0.134445706,0.146886007,0.141689726,0.154868233
CC(C)(C1=CC=C(O)C=C1)C1=C(O)C=CC=C1,1,0.991496732,0.726854561,0.631973024,0.980949325,0.95752426,0.983021146,0.972124487,0.962938703,0.823795546,0.963973634
CC(C)(C1=CC=CC=C1O)C1=C(O)C=CC=C1,1,0.693068233,0.123022233,0.058295424,0.39522833,0.41528368,0.542086706,0.461769471,0.382615064,0.201031449,0.203998301
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=CC=C1O,0,0.674155781,0.018806138,0.073347449,0.093178454,0.085855464,0.087487755,0.115119833,0.162196319,0.050811597,0.044612856
