smiles,Test,label_model_1,label_model_2,label_model_3,label_model_4,label_model_5,label_model_6,label_model_7,label_model_8,label_model_9,label_model_10
CC1=CC(=CC(C)=C1O)C(C)(C)C1=CC(C)=C(O)C(C)=C1,1,0.6641436,0.76881695,0.9355335,0.7484944,0.17547916,0.9145389,0.7837207,0.6555866,0.37048444,0.4277701
ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,0,0.22913453,0.59043604,0.40958312,0.21636884,0.05018941,0.30913398,0.21692882,0.29128549,0.079835765,0.4255772
OC1=C(Br)C=C(C=C1Br)S(=O)(=O)C1=CC(Br)=C(O)C(Br)=C1,0,0.3960197,0.04337947,0.18205968,0.12668398,0.093304954,0.10002547,0.17874373,0.3475566,0.10514138,0.04599292
CCCCCCCCCC1=CC=C(O)C=C1,1,0.03512775,0.031404585,0.17669725,0.07248882,0.014048619,0.022545477,0.37718582,0.1820506,0.111102164,0.048256412
CC(C)(CC(=C)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.6288442,0.98455,0.7815413,0.817034,0.94255114,0.94812524,0.92804056,0.5067398,0.9017065,0.9651008
CC1=CC(=CC=C1O)C(C)(C)C1=CC=C(O)C(C)=C1,1,0.69512725,0.4586401,0.5626485,0.75349987,0.7188977,0.81920433,0.65494746,0.67827505,0.6636019,0.292246
OC1=CC=C(C=C1)C(=O)C1=CC=C(O)C=C1,0,0.53486013,0.51292217,0.20861134,0.713008,0.35054126,0.70770663,0.09751692,0.5828555,0.28860343,0.8177135
CC1=CC(=CC=C1O)S(=O)(=O)C1=CC(C)=C(O)C=C1,1,0.4989404,0.012347993,0.17940782,0.015327816,0.2366102,0.13048102,0.078707844,0.28793347,0.105645165,0.028473549
CC(C)OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1,0,0.47935873,0.060576454,0.1421718,0.05438741,0.4274219,0.59201694,0.705344,0.39680037,0.4545095,0.5629871
C[C@H]1CC(C)(C)CC(C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.6841481,0.7089779,0.6930219,0.7898977,0.9100322,0.9175696,0.83662957,0.6806688,0.4401103,0.8754285
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC2=CC=CC=C2)C=C1,0,0.34142968,0.123308554,0.03515481,0.16417009,0.32468182,0.21724178,0.43985328,0.1988085,0.38614452,0.056332465
OC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(OCC=C)C=C1,0,0.405055,0.030215448,0.14944369,0.3193977,0.06865358,0.39340234,0.64021736,0.76534426,0.17809515,0.3230851
CC(C)(C1=CC=C(O)C(=C1)C1=CC=CC=C1)C1=CC=C(O)C(=C1)C1=CC=CC=C1,1,0.15325604,0.4256204,0.43255997,0.27928287,0.08302948,0.2945678,0.20331529,0.51675665,0.3512665,0.1085646
CC(C)(C1=CC=C(O)C=C1)C1=CC(=CC=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.27353105,0.88049465,0.6672953,0.675184,0.7004902,0.85553396,0.64206094,0.6301445,0.8751572,0.647203
CC(C)C1=C(O)C=CC(=C1)C(C)(C)C1=CC(C(C)C)=C(O)C=C1,1,0.2950304,0.5235855,0.56398654,0.27761027,0.61290836,0.75662243,0.5248784,0.5423403,0.15010116,0.54925174
OC1=CC=C(CC2=CC=C(O)C(O)=C2)C=C1,0,0.3921075,0.42940786,0.37260142,0.37242922,0.2604917,0.35606632,0.68213284,0.42760742,0.5554498,0.72864366
OC1=CC=C(CC2=CC=C(O)C=C2O)C=C1,0,0.5105117,0.48185134,0.19931826,0.34621733,0.124415636,0.45113024,0.45528382,0.46909782,0.4126353,0.670446
CC(C)(C1=CC=C(O)C=C1)C1=CC=C(C=C1)C(C)(C)C1=CC=C(O)C=C1,1,0.5590425,0.88147044,0.48935267,0.3501594,0.26348525,0.50082344,0.564215,0.48479602,0.73010534,0.36120856
OC1=CC=C(C=C1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=C(O)C=C1,0,0.7176266,0.97990227,0.92186266,0.94894075,0.83521193,0.9386876,0.45753703,0.7728266,0.9475886,0.9350838
CC(C1=CC=CC=C1)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,1,0.87090063,0.98926455,0.943459,0.9726079,0.87721545,0.9163936,0.8980785,0.8427238,0.89045566,0.9873165
OC1C(O)C(OC2=CC=C(C=C2)C(C2=CC=C(O)C=C2)(C(F)(F)F)C(F)(F)F)OC(C1O)C(O)=O,0,0.03360011,0.2709066,0.15201014,0.26553398,0.20168397,0.14857724,0.36349532,0.22168797,0.41203544,0.10493397
